Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip Code,Taxpayer County,Outlet Number,Location Name,Location Address,Location City,Location State,Location Zip Code,Location County,Location Room Capacity,Location Tot Room Receipts,Location Taxable Receipts
32016602719,BHAKTA DAYARAM,2627 MANOR RD,AUSTIN,TX,78722,227,00001,ACE MOTEL,2627 MANOR RD,AUSTIN,TX,78722,227,27,11151.0,9331.0
32016658448,SIDNEY CORINNE LOCK,4300 AVENUE G,AUSTIN,TX,78751,227,00005,ADAMS HOUSE BED & BREAKFAST,4300 AVENUE G,AUSTIN,TX,78751,227,3,17231.0,16993.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00007,ALLANDALE RENTALS,1107A BRENTWOOD ST,AUSTIN,TX,78757,227,2,972.0,972.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00009,ALLANDALE RENTALS,11900 ALOE VERA TRL,AUSTIN,TX,78750,246,8,4430.0,4430.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00010,ALLANDALE RENTALS DUPLEX,2200 LANIER DR # B,AUSTIN,TX,78757,227,1,3560.0,0.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00008,ALLANDALE RENTALS/DUPLEX,2200 LANIER DR # A,AUSTIN,TX,78757,227,4,3661.0,413.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00004,ALLENDALE RENTALS,2105 LANIER DR,AUSTIN,TX,78757,227,1,3460.0,3460.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00006,ALLENDALE RENTALS,5010 PLACID PL,AUSTIN,TX,78731,227,1,4596.0,4596.0
32024286760,"ALTEMATE REAL ESTATE, LLC",1318 URSULINES AVE,NEW ORLEANS,LA,70116,000,00008,ALTEMATE REAL ESTATE LLC,76 SAN MARCOS ST,AUSTIN,TX,78702,227,1,1568.0,250.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00002,AMANDA K CRIBBS,1906 BELFORD DR,AUSTIN,TX,78757,227,1,4472.0,4472.0
32049296356,"AMCO HOTEL & SUITES, INC.",2700 S INTERSTATE 35 STE 100,AUSTIN,TX,78704,227,00001,AMCO HOTEL & SUITES,2700 S INTERSTATE 35,AUSTIN,TX,78704,227,24,36373.0,33123.0
17427099472,AMIN DEVELOPMENT CORPORATION,909 E KOENIG LN,AUSTIN,TX,78751,227,00003,AMERICAS BEST VALUE INN,909 E KOENIG LN,AUSTIN,TX,78751,227,88,128215.48,112657.66
14320123657,"HPT TRS SPES II, INC.",830 CITY AVE,MOORE,OK,73160,000,00004,AMERISUITES - AF,7522 NORTH IH-35,AUSTIN,TX,78752,227,122,383049.08,350476.91
32048209129,ANTHONY BELL,9550 SAVANNAH RIDGE DR UNIT 33,AUSTIN,TX,78726,227,00001,ANTHONY T BELL,13010 WATER LN,AUSTIN,TX,78732,227,6,9540.0,9540.0
32043490237,VACATIONCAKE LLC,1709 BLUEBONNET LN,AUSTIN,TX,78704,227,00038,ATOMIC RANCH,5010 GLADEVIEW DR,AUSTIN,TX,78745,227,1,2298.98,1884.98
32049981734,"AUSBW MANAGEMENT, INC.",122 MUSKET DR,BASTROP,TX,78602,011,00001,"AUSBW MANAGEMENT, INC.",7601 E BEN WHITE BLVD,AUSTIN,TX,78741,227,8,251368.17,217137.67
32033466411,"AUSTIN HOTEL ASSOCIATES, LLC",8100 E 22ND ST N BLDG 500,WICHITA,KS,67226,000,00001,AUSTIN ALOFT,11601 DOMAIN DR,AUSTIN,TX,78758,227,140,550081.37,545778.17
32017937718,"AUSTIN AT BEE CAVES REALTY, CORP.",1104 LIPAN TRL,AUSTIN,TX,78733,227,00010,AUSTIN AT BEE CAVES REALTY,17127 ROCKY RIDGE RD,AUSTIN,TX,78734,227,1,0.0,0.0
32017937718,"AUSTIN AT BEE CAVES REALTY, CORP.",1104 LIPAN TRL,AUSTIN,TX,78733,227,00038,AUSTIN AT BEE CAVES REALTY,3335 FAR VIEW DR,AUSTIN,TX,78730,227,1,0.0,0.0
12039797241,"AUSTIN BED AND BREAKFASTS, LP",611 W 22ND ST,AUSTIN,TX,78705,227,00003,AUSTIN BED AND BREAKFAST,2109 RIO GRANDE ST,AUSTIN,TX,78705,227,9,9208.09,8103.09
12035207484,ASHFORD TRS POOL II LLC,14185 DALLAS PKWY STE 1150,DALLAS,TX,75254,057,00003,AUSTIN EMBASSY SUITES,9505 STONELAKE BLVD,AUSTIN,TX,78759,227,150,583290.0,562621.85
12039797241,"AUSTIN BED AND BREAKFASTS, LP",611 W 22ND ST,AUSTIN,TX,78705,227,00002,AUSTIN FOLK HOUSE,506 W 22ND ST,AUSTIN,TX,78705,227,9,40657.0,27942.0
17425190786,"AUSTIN HILLS ON LAKE TRAVIS, INC.",900 RANCH ROAD 620 S STE C101,LAKEWAY,TX,78734,227,00002,AUSTIN HILLS ON LAKE TRAVIS INC,1003 RANCH RD 620 SO,AUSTIN,TX,78734,227,35,6820.6,3920.6
17430027841,"AUSTIN CONVENTION ENTERPRISES, INC.",500 E 4TH ST,AUSTIN,TX,78701,227,00002,AUSTIN HILTON CONVENTION HOTEL,500 E 4TH ST,AUSTIN,TX,78701,227,800,4554363.28,3946117.07
12082364162,"NHC-TX102, LLC",6991 E CAMELBACK RD STE B310,SCOTTSDALE,AZ,85251,000,00001,AUSTIN LONE STAR RV RESORT,7009 S INTERSTATE 35,AUSTIN,TX,78744,227,11,4194.67,4194.67
17525096347,"J P HOBBS, INC.",PO BOX 10897,AUSTIN,TX,78766,227,00004,AUSTIN LUXURY SUITE,8803 TALLWOOD DR,AUSTIN,TX,78759,227,1,0.0,0.0
12016274339,ESA P PORTFOLIO OPERATING LESSEE INC.,PO BOX 49550,CHARLOTTE,NC,28277,000,00026,AUSTIN METRO TX-STUDIO PLUS PROPERTIES # 6081,6300 E HIGHWAY 290,AUSTIN,TX,78723,227,86,108417.36,31780.17
32047107167,"SAFE JOURNEYS, LLC",PO BOX 40129,AUSTIN,TX,78704,227,00001,AUSTIN MOTEL,1220 S CONGRESS AVE,AUSTIN,TX,78704,227,41,113374.76,111165.2
17606186454,AUSTIN JN INVESTMENTS LIMITED PARTNERSHIP,5855 SOVEREIGN DR STE A,HOUSTON,TX,77036,101,00001,AUSTIN MOTOR INN,11400 N IH 35,AUSTIN,TX,78753,227,25,42419.46,25428.4
12054400606,"W2007 EQI COLLEGE STATION PARTNERSHIP, L.P.",6011 CONNECTION DR,IRVING,TX,75039,057,00005,AUSTIN NORTH HAMPTON INN,7619 N INTERSTATE 35,AUSTIN,TX,78752,227,121,0.0,0.0
32046041649,OM NAMA GANESHAYA CORPORATION,1505 BIG BEND DR,CEDAR PARK,TX,78613,246,00001,AUSTIN SUITES HOTEL,8300 N INTERSTATE 35,AUSTIN,TX,78753,227,214,74010.68,14857.47
32010710666,SUNIL ARVINDBHAI NAIK,601 MIDDLE LN,AUSTIN,TX,78753,227,00002,AUSTIN VILLAGE MOTOR INN,601 MIDDLE LN,AUSTIN,TX,78753,227,33,20221.02,7215.25
12016274339,ESA P PORTFOLIO OPERATING LESSEE INC.,PO BOX 49550,CHARLOTTE,NC,28277,000,00034,AUSTIN-NORTHWEST TX-EXTENDED STAY AMERICA #6195,13858 N US HIGHWAY 183,AUSTIN,TX,78750,227,86,119839.27,80750.5
12016274339,ESA P PORTFOLIO OPERATING LESSEE INC.,PO BOX 49550,CHARLOTTE,NC,28277,000,00035,AUSTIN-ROUND ROCK TX-EXTENDED STAY AMERICA # 6197,16950 N IH 35,AUSTIN,TX,78728,227,86,92338.04,56440.83
